Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,_Formal,Notes,_HSK,_Dao,ID
一般,yìbān,"adjective: Ordinary / Average
adverb: Usually / Generally
comparative: The same as / As … as …",我一般七点起床，去一份一般的工作。同事们一般都很友好，还开玩笑说我跑得跟风一般快。,I usually wake up at seven and go to an average job. My colleagues are generally friendly and even joke that I run as fast as the wind.,Everyday,,Band2,1.7,165
生命,shēngmìng,"Noun: life / living beings / biological life (referring to the state of being alive, the span of existence, or life force)",我们应该珍惜每一条生命。,We should cherish every life.,Neutral Formal,Abstract noun for life/living beings; more serious and complete than 命 in many contexts.,Band3,1.7,170
按照,ànzhào,according to,按照计划，我们明天出发。事态没有完全按照计划发展。,"According to the plan, we’ll leave tomorrow.",Discursive,"Used to structure instructions, standards, rules, or methods: “according to / based on.”",Band3,1.7,166
记录,jìlù,"verb: to record
noun: record / notes",请记录下会议内容，这份记录会上传给大家。,Please take notes during the meeting — the record will be shared with everyone.,Neutral Formal,"More complete/polished than 写下来; common in study, work, reports, and systems.",Band3,1.7,167
课程,kèchéng,noun: course / curriculum,下学期我选修了三门新课程。,I’ve chosen three new courses for next semester.,Neutral Formal,More structured than 课; refers to a course/curriculum rather than just a class session.,Band3,1.7,168
利用,lìyòng,verb: to use / make use of,我们可以利用这段时间复习功课。,We can make use of this time to review the material.,Neutral Formal,"Polished version of 用; often means using resources, time, tools, or opportunities effectively.",Band3,1.7,169
文字,wénzì,noun: characters / script / written language,汉字是世界上最古老的文字之一。,Chinese characters are among the oldest scripts in the world.,Neutral Formal,More precise than 字; refers to written language/text.,Band3,1.7,171
制作,zhìzuò,"verb: to make / to produce (especially media, craft, food)",这部纪录片制作精良。,This documentary was excellently produced.,Neutral Formal,"Polished verb for making/producing something, especially content, products, food, or media.",Band3,1.7,172
自从,zìcóng,preposition: since (a certain time),自从搬家后，我们联系少了。,We’ve been in touch less often since I moved.,Discursive,Time-structure connector: “since...” Used to link a starting point with a later result/state.,Band3,1.7,173
自然,zìrán,"noun: nature
adjective: natural
adverb: naturally",他热爱自然，说话也非常自然。,He loves nature and speaks very naturally.,Everyday,,Band3,1.7,174
准时,zhǔnshí,adverb/adjective: on time / punctual,他总是准时到办公室，从不迟到。,He always arrives at the office on time and is never late.,Everyday,,Band4,1.7,175
拒绝,jùjué,verb: to refuse,她礼貌但坚定地拒绝了那份不适合自己的工作。,She politely but firmly refused the job that didn’t suit her.,Neutral Formal,Standard word for “refuse/reject”; more complete than 不要/不想/不肯.,Band5,1.7,176
上班,shàngbān,go to work,我早上九点上班,I start work at 9 a.m.,Everyday,,Band1,1.8,177
对话,duìhuà,dialogue,这是一段很有趣的对话,This is a very interesting dialogue.,Neutral Formal,"More structured than 聊天/说话; often refers to a conversation, dialogue, or exchange.",Band2,1.8,178
方面,fāngmiàn,Aspect,我们要在各个方面改进工作,We need to improve our work in every aspect.,Discursive,Used to organize topics or dimensions: “in terms of / aspect.”,Band2,1.8,179
好处,hǎochu,benefit,多运动对身体有好处。,Exercising more is beneficial for your health.,Everyday,,Band2,1.8,180
忽然,hūrán,suddenly,天气忽然变冷了。,The weather suddenly turned cold.,Literary,Narrative-style word for “suddenly”; more story-like than 突然 in many contexts.,Band2,1.8,181
进行,jìnxíng,"Verb: to carry out,"" ""to conduct,"" ""to engage in,"" or ""to be in progress. If this word is used before a verb, the word that follows it must be a noun that represents an action or a process (usually two syllables).",生日派对的准备工作正顺利进行，我们下午会对房间进行布置,"The preparations for the birthday party are smoothly underway, and this afternoon we will decorate the room.”",Neutral Formal,"Formal/polished action verb used before activities, checks, discussions, research, etc.",Band2,1.8,182
句子,jùzi,sentence,请用这个词造一个句子。,Please make a sentence with this word.,Everyday,,Band2,1.8,183
平时,píngshí,usually / normally,平时他很安静，但今天很兴奋。,"He’s usually quiet, but he’s very excited today.",Everyday,,Band2,1.8,184
说明,shuōmíng,to explain / instructions,请先看一下产品说明。,Please read the product instructions first.,Neutral Formal,"Polished word for “explain/instructions/description”; common in forms, manuals, and explanations.",Band2,1.8,185
特点,tèdiǎn,characteristic / feature,这家饭店的特点是菜又快又好吃,The special feature of this restaurant is that the food is fast and delicious.,Neutral Formal,Precise noun for “feature/characteristic”; common in explanations and comparisons.,Band2,1.8,186
通过,tōngguò,"Preposition: through / by means of / via (indicating the method, channel, or medium used to achieve a result)
Verb: to pass / to clear / to approve (referring to passing an exam, crossing a physical location, or a bill/proposal being officially approved)",他顺利通过了考试,He passed the exam successfully.,Discursive,"Used as a structured preposition to introduce a formal channel, method, or intermediary (e.g., 通过努力 through hard work, 通过朋友介绍 via a friend's introduction), or as a verb for passing official milestones (e.g., 通过考试 to pass an exam). While daily speech defaults to raw shortcuts like 用 or 过, 通过 acts as the clean, precise all-rounder for both speech and text.",Band2,1.8,187
相同,xiāngtóng," Describes two or more things as being exactly the same, with no difference.",他们的看法不完全相同。,Their opinions are not exactly the same.,Neutral Formal,More complete/polished than 一样; common in comparison and explanation.,Band2,1.8,188
行为,xíngwéi,behavior,这种行为是不被接受的。,This kind of behavior is unacceptable.,Neutral Formal,Abstract noun for “behavior/action”; more formal than 做法/动作.,Band2,1.8,189
信心,xìnxīn,confidence,我对这次考试很有信心。,I’m confident about this exam.,Everyday,,Band2,1.8,190
要求,yāoqiú,"asking firmly,"" ""insisting,"" or ""demanding.""",我要求你马上离开,I demand that you leave immediately!,Neutral Formal,Standard word for requirement/request/demand; more structured than 要.,Band2,1.8,191
以下,yǐxià,below,这个活动适合12岁以下的孩子,This activity is suitable for kids under 12.,Discursive,"Used to introduce lists, sections, or information below/following.",Band2,1.8,192
原因,yuányīn,Reason,他迟到的原因是堵车。,The reason he was late was traffic.,Everyday,,Band2,1.8,193
语言,yǔyán,language,汉语是一种非常有趣的语言。,Chinese is a very interesting language.,Everyday,,Band2,1.8,194
正确,zhèngquè,Correct,你的答案是正确的。,Your answer is correct.,Neutral Formal,"More precise than 对; used for answers, methods, information, and judgments.",Band2,1.8,195
作用,zuòyòng,"Noun: effect / influence / impact (the result or change produced by an action, substance, or event)
Noun: function / role / purpose (the specific job or usefulness that an object, person, or organization has)
Verb: to act on / to affect / to exert an influence on (scientific or formal context where one force or substance physically or chemically alters another)",这种药的作用很快。,This medicine works quickly.,Neutral Formal,Abstract noun for function/effect/role; common in explanations.,Band2,1.8,196
变化,biànhuà,change (noun),这里的变化很大。,There’s been a big change here.,Everyday,,Band3,1.8,197
表达,biǎodá,"express, convey, or voice something,",她很善于表达自己的想法。,She’s good at expressing her ideas.,Neutral Formal,"Polished verb/noun for expressing meaning, feelings, or ideas.",Band3,1.8,198
表现,biǎoxiàn,"to behave (verb)
performance (noun)",他在比赛中表现得很勇敢. 根据你的表现，我们会考虑给你升职,"He performed very bravely in the competition. Based on your performance, we will consider giving you a promotion.",Neutral Formal,"Refers to performance, expression, or outward behavior; common in evaluation/explanation.",Band3,1.8,199
对方,duìfāng,noun: the other side / the other party,通话时请尊重对方，不要打断。,Please respect the other party during a call and don’t interrupt.,Neutral Formal,"Structured term for “the other party/person,” common in communication, conflict, business, and explanation.",Band3,1.8,200
反应,fǎnyìng,"noun: reaction / response
verb: to react / to respond",这个药的反应很快，他对医生的提问也反应迅速。,"This medicine works quickly, and he also responded swiftly to the doctor’s questions.",Neutral Formal,"Standard noun/verb for reaction/response; common in explanations, psychology, and events.",Band3,1.8,201
负责,fùzé,"verb: to be responsible for
adjective: responsible",他负责整个项目，是个非常负责的人。,He’s in charge of the whole project and is a very responsible person.,Everyday,,Band3,1.8,202
感受,gǎnshòu,"noun: feeling / experience
verb: to feel / to experience",他能感受别人的情绪，他的感受也很细腻。,"He can sense others’ emotions, and his own feelings are very delicate.",Everyday,,Band3,1.8,203
更加,gèngjiā,adverb: even more,这次经历让他更加成熟。,This experience made him even more mature.,Neutral Formal,More polished/intensified version of 更; common in writing and structured speech.,Band3,1.8,204
国庆,guóqìng,noun: National Day,国庆期间，广场上举行了庆祝活动。,Celebration events were held in the square during National Day.,Everyday,,Band3,1.8,205
交流,jiāoliú,"verb: to exchange (ideas, cultures) / to communicate
noun: communication / exchange",中外学生之间的文化交流非常有趣。,Cultural exchange between local and foreign students is very interesting.,Neutral Formal,"More structured than 聊/聊天; used for communication, exchange, study, work, and relationships.",Band3,1.8,206
解决,jiějué,Verb: to solve / to settle,这个问题已经顺利解决。,This problem has been successfully solved.,Everyday,,Band3,1.8,207
景色,jǐngsè,Noun: scenery / view,山上的景色非常迷人，特别适合拍照。,The mountain view is stunning — perfect for photography.,Literary,Descriptive word for scenery/view; more visual and narrative than 地方/环境.,Band3,1.8,208
