Chinese Words,_apinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,Chinese Usage in a Sentence Hint,Band 0 HSK,Dao,Color
路边,lùbiān,noun: roadside,路边停着一辆车。,A car is parked by the roadside.,__停着一辆车。,Band2,3.7,5
旅客,lǚkè,noun: traveler; passenger,许多旅客正在机场等候。,Many travelers are waiting at the airport.,许多__正在机场等候。,Band2,3.1,5
旅游,lǚyóu,Travel,我打算去中国旅游。,I plan to travel to China,我打算去中国__。,Band2,1.4,5
满意,mǎnyì,Satisfied,客人对服务很满意。,The customer is very satisfied with the service.,客人对服务很__。,Band2,1.5,5
面前,miànqián,in front of,他站在老师面前不敢说话,He stood in front of the teacher and didn’t dare to speak.,他站在老师__不敢说话,Band2,1.3,5
名称,míngchēng,"name (formal, of a thing/place)",这个软件的名称是什么？,What’s the name of this software?,这个软件的__是什么？,Band2,3.7,5
名单,míngdān,name list,你的名字已经在名单上了。,Your name is already on the list.,你的名字已经在__上了。,Band2,2.7,5
明星,míngxīng,celebrity / star,她梦想成为一位电影明星。,She dreams of becoming a movie star.,她梦想成为一位电影__。,Band2,7.11,5
目的,mùdì,objective,我们这次旅行的目的是放松一下。,The purpose of this trip is to relax.,我们这次旅行的__是放松一下。,Band2,1.7,5
难过,nánguò,sad / upset,听到这个消息我很难过。,I was very sad to hear the news.,听到这个消息我很__。,Band2,1.2,5
难受,nánshòu,to feel unwell / uncomfortable,我今天有点儿难受，可能感冒了。,"I feel a little unwell today, maybe I caught a cold.",我今天有点儿__，可能感冒了。,Band2,3.3,5
年级,niánjí,noun: grade / school year,我弟弟现在读三年级，刚开始学写作文。,My little brother is in Grade 3 and just started learning to write essays.,我弟弟现在读三__，刚开始学写作文。,Band2,1.3,5
排球,páiqiú,volleyball,她是学校排球队的队长。,She’s the captain of the school volleyball team.,她是学校__队的队长。,Band2,Unknown,5
碰见,pèngjiàn,to run into / bump into (someone),我在超市碰见了老朋友。,I ran into an old friend at the supermarket.,我在超市__了老朋友。,Band2,Unknown,5
平,píng,flat / level / equal,桌子不平，杯子总是倒。,"The table isn’t level, the cup keeps falling over.",桌子不__，杯子总是倒。,Band2,Unknown,5
瓶,píng,bottle,我买了一瓶水。,I bought a bottle of water.,我买了一__水。,Band2,Unknown,5
平安,píng'ān,sound and safe,祝你一路平安！,Wish you a safe journey!,祝你一路__！,Band2,2.7,5
平等,píngděng,equality / equal,每个人都应该受到平等对待。,Everyone should be treated equally.,每个人都应该受到__对待。,Band2,Unknown,5
平时,píngshí,usually / normally,平时他很安静，但今天很兴奋。,"He’s usually quiet, but he’s very excited today.",__他很安静，但今天很兴奋。,Band2,1.8,5
千克,qiānkè,noun: kilogram,这个西瓜有五千克重。,This watermelon weighs 5 kilograms.,这个西瓜有五千__。,Band2,Unknown,5
骑车,qíchē,to ride a bike,周末我们常常去公园骑车。,We often go biking in the park on weekends.,周末我们常常去公园__。,Band2,2.4,5
起飞,qǐfēi,to take off (airplane),飞机已经起飞了。,The plane has already taken off.,飞机已经__了。,Band2,7.3,5
请客,qǐngkè,"to treat someone (to food, etc.)",他升职了，决定请客吃饭。,He got promoted and decided to treat everyone to a meal.,他升职了，决定__吃饭。,Band2,3.5,5
青年,qīngnián,youth / young adults,现在的青年更关注社会问题。,Today’s youth are more concerned about social issues.,现在的__更关注社会问题。,Band2,2.5,5
请求,qǐngqiú,"""asking nicely"" or ""pleading,""",我请求老板给我一天假。,I requested a day off from my boss.,我__老板给我一天假。,Band2,2.1,5
青少年,qīngshàonián,Teenagers,这本书很适合青少年阅读。,This book is suitable for teenagers.,这本书很适合__阅读。,Band2,3.1,5
晴天,qíngtiān,sunny day,今天天气很好，是个晴天。,The weather is great today—it's a sunny day.,今天天气很好，是个__。,Band2,4.4,5
球场,qiúchǎng,sports field / court,我们下午在球场上打篮球。,We’ll play basketball on the court this afternoon.,我们下午在__上打篮球。,Band2,1.7,5
球队,qiúduì,sports team,他是学校足球队的队员。,He’s a member of the school football team.,他是学校足__的队员。,Band2,2.1,5
秋天,qiūtiān,fall; autumn,秋天是我最喜欢的季节。,Autumn is my favorite season.,__是我最喜欢的季节。,Band2,5.1,5
球鞋,qiúxié,gym shoes,我新买了一双白色的球鞋。,I bought a new pair of white sneakers.,我新买了一双白色的__。,Band2,Unknown,5
气温,qìwēn,air temperature,今天的气温是二十度。,Today’s temperature is 20 degrees Celsius.,今天的__是二十度。,Band2,5.4,5
其中,qízhōng,among them / including,我有很多爱好，其中一个是画画。,"I have many hobbies, one of which is drawing.",我有很多爱好，__一个是画画。,Band2,1.3,5
全体,quántǐ,all / entire (group of people),全体学生都参加了活动。,All the students participated in the activity.,__学生都参加了活动。,Band2,5.4,5
取得,qǔdé,acquire; gain; obtain,她在比赛中取得了好成绩。,She achieved good results in the competition.,她在比赛中__了好成绩。,Band2,2.5,5
人口,rénkǒu,noun: population,这个城市人口超过一千万。,The population of this city exceeds 10 million.,这个城市__超过一千万。,Band2,7.18,5
人数,rénshù,number of people,报名参加比赛的人数很多。,A lot of people signed up for the competition.,报名参加比赛的_ _很多。,Band2,2.3,5
热情,rèqíng,Enthusiasm,老师对我们非常热情。,The teacher is very warm and welcoming to us.,老师对我们非常__。,Band2,2.1,5
日报,rìbào,daily newspaper,他每天早上都看日报。,He reads the daily newspaper every morning.,他每天早上都看__。,Band2,Unknown,5
商量,shāngliang,discuss,我们一起商量一下怎么解决这个问题。,Let’s discuss how to solve this problem.,我们一起__一下怎么解决这个问题。,Band2,6.1,5
商人,shāngrén,noun: businessperson / merchant,他是个成功的商人，在国外也有公司。,He’s a successful businessman with companies overseas.,他是个成功的__，在国外也有公司。,Band2,2.2,5
少数,shǎoshù,small number,只有少数学生完成了额外作业。,Only a few students finished the extra homework.,只有__学生完成了额外作业。,Band2,Unknown,5
生词,shēngcí,new word,请把这些生词记在本子上。,Please write down these new words in your notebook.,请把这些__记在本子上。,Band2,Unknown,5
生活,shēnghuó,Life,他在城市里过着很简单的生活。,He lives a simple life in the city.,他在城市里过着很简单的__。,Band2,1.6,5
声音,shēngyīn,"Sound, voice, volume",这里的环境很吵，到处都是嘈杂的声音。老师的声音虽然好听，但是声音太小了，我听不清楚。,"Her voice was gentle and clear, like the sound of a summer breeze rustling through leaves.",这里的环境很吵，到处都是嘈杂的__。老师的__虽然好听，但是__太小了，我听不清楚。,Band2,1.1,5
实际,shíjì,reality / actual,实际情况比我们想的复杂。,The real situation is more complicated than we thought.,__情况比我们想的复杂。,Band2,3.2,5
实习,shíxí,Internship,我正在一家公司实习。,I’m doing an internship at a company.,我正在一家公司__。,Band2,Unknown,5
实现,shíxiàn,– to achieve / to realize,他终于实现了自己的梦想。,He finally achieved his dream.,他终于__了自己的梦想。,Band2,1.6,5
使用,shǐyòng,"formal, more ""professional"" version of ""use.",请使用手机扫描二维码。,Please use your phone to scan the QR code.,请__手机扫描二维码。,Band2,1.3,5
实在,shízài,"1.Real, True, Actual
2. Honest, Sincere 
3. Really, Indeed, Truly, Actually
4. Substantial, Considerable, Significant
5.  Down-to-earth, Practical","1. 这才是实在的情况
2. 他说话很实在
3. 今天实在太热了
4. 这对我们来说是实在的帮助
5. 他是一个很实在的人，不会好高骛远。","1. This is the real situation.
2. He speaks honestly
3. Today is really too hot.
4. This is substantial help for us
5. He is a very down-to-earth person and won't aim too high.","1. 这才是__的情况
2. 他说话很__
3. 今天__太热了
4. 这对我们来说是__的帮助
5. 他是一个很__的人，不会好高骛远。",Band2,2.3,5
市长,shìzhǎng,mayor,市长今天参观了我们学校。,The mayor visited our school today.,__今天参观了我们学校。,Band2,Unknown,5
受到,shòudào,"to receive (abstract things like praise, support)",他受到了老师的表扬。,He received praise from the teacher.,他__了老师的表扬。,Band2,2.3,5
收入,shōurù,income,他每个月的收入都很稳定。,His monthly income is very stable.,他每个月的__都很稳定。,Band2,6.1,5
熟,shú,ripe/familiar,"苹果熟了
他对北京很熟","The apples are ripe
I’m not very familiar with him.","苹果__了
他对北京很__",Band2,Unknown,5
水平,shuǐpíng,level (of ability),他的汉语水平很高。,His Chinese level is very high.,他的汉语__很高。,Band2,6.5,5
顺利,shùnlì,smoothly,希望你考试顺利！,Hope your exam goes smoothly!,希望你考试__！,Band2,2.2,5
说明,shuōmíng,to explain / instructions,请先看一下产品说明。,Please read the product instructions first.,请先看一下产品__。,Band2,1.8,5
数字,shùzì,number,这些数字我不太明白。,I don’t really understand these numbers.,这些__我不太明白。,Band2,5.5,5
司机,sījī,Driver,司机已经在楼下等你了。,The driver is already waiting downstairs for you.,__已经在楼下等你了。,Band2,2.1,5
随时,suíshí,at any time,你可以随时联系我。,You can contact me anytime.,你可以__联系我。,Band2,2.6,5
所有,suǒyǒu,pronoun: all; every / noun: ownership; possession,所有学生都已经到了。,All the students have already arrived.,__学生都已经到了。,Band2,1.2,5
态度,tàidu,attitude,他对工作的态度很认真。,He has a very serious attitude toward his work.,他对工作的__很认真。,Band2,3.11,5
讨论,tǎolùn,discuss,我们一起讨论一下这个问题。,Let’s discuss this problem together.,我们一起__一下这个问题。,Band2,1.3,5
特点,tèdiǎn,characteristic / feature,这家饭店的特点是菜又快又好吃,The special feature of this restaurant is that the food is fast and delicious.,这家饭店的__是菜又快又好吃,Band2,1.8,5
疼,téng,hurt (milder version),我的头有点儿疼。,My head hurts a little.,我的头有点儿__。,Band2,Unknown,5
天上,tiānshàng,noun: in the sky; heaven,天上有很多星星。,There are many stars in the sky.,__有很多星星。,Band2,3.6,5
条件,tiáojiàn,condition / requirement,他符合申请奖学金的条件。,He meets the requirements for applying for the scholarship.,他符合申请奖学金的__。,Band2,2.7,5
提出,tíchū,put forward; propose; raise,他在会议上提出了一个好建议。,He made a good suggestion during the meeting.,他在会议上__了一个好建议。,Band2,1.9,5
提到,tídào,to mention,他从来没提到过他的家人。,他从来没提到过他的家人。,他从来没__过他的家人。,Band2,Unknown,5
