Chinese Words,pinyin,English Words,Question Type,Category,Chinese Usage in a Sentence,English Usage in a sentence,Color,Chinese Usage in a Sentence Hint,Band 0 HSK
青年,qīngnián,youth / young adults,Both,Misc,现在的青年更关注社会问题。,Today’s youth are more concerned about social issues.,5,现在的__更关注社会问题。,Band2
晴天,qíngtiān,sunny day,Both,Misc,今天天气很好，是个晴天。,The weather is great today—it's a sunny day.,5,今天天气很好，是个__。,Band2
请求,qǐngqiú,"""asking nicely"" or ""pleading,""",Both,Misc,我请求老板给我一天假。,I requested a day off from my boss.,5,我__老板给我一天假。,Band2
青少年,qīngshàonián,Teenagers,Both,Misc,这本书很适合青少年阅读。,This book is suitable for teenagers.,5,这本书很适合__阅读。,Band2
球场,qiúchǎng,sports field / court,English,Misc,我们下午在球场上打篮球。,We’ll play basketball on the court this afternoon.,5,我们下午在__上打篮球。,Band2
球队,qiúduì,sports team,Both,Misc,他是学校足球队的队员。,He’s a member of the school football team.,5,他是学校足__的队员。,Band2
秋天,qiūtiān,fall; autumn,Both,Misc,秋天是我最喜欢的季节。,Autumn is my favorite season.,5,__是我最喜欢的季节。,Band2
球鞋,qiúxié,gym shoes,Both,Misc,我新买了一双白色的球鞋。,I bought a new pair of white sneakers.,5,我新买了一双白色的__。,Band2
其中,qízhōng,among them / including,Both,Misc,我有很多爱好，其中一个是画画。,"I have many hobbies, one of which is drawing.",5,我有很多爱好，__一个是画画。,Band2
取得,qǔdé,acquire; gain; obtain,Both,Misc,她在比赛中取得了好成绩。,She achieved good results in the competition.,5,她在比赛中__了好成绩。,Band2
全体,quántǐ,all / entire (group of people),Both,Misc,全体学生都参加了活动。,All the students participated in the activity.,5,__学生都参加了活动。,Band2
人数,rénshù,number of people,Both,Misc,报名参加比赛的人数很多。,A lot of people signed up for the competition.,5,报名参加比赛的_ _很多。,Band2
热情,rèqíng,Enthusiasm,Both,Misc,老师对我们非常热情。,The teacher is very warm and welcoming to us.,5,老师对我们非常__。,Band2
日报,rìbào,daily newspaper,Both,Misc,他每天早上都看日报。,He reads the daily newspaper every morning.,5,他每天早上都看__。,Band2
商人,shāngrén,businessman,Both,Misc,他父亲是一位成功的商人。,His father is a successful businessman.,5,他父亲是一位成功的__。,Band2
商量,shāngliang,discuss,Both,Misc,我们一起商量一下怎么解决这个问题。,Let’s discuss how to solve this problem.,5,我们一起__一下怎么解决这个问题。,Band2
少数,shǎoshù,small number,Both,Misc,只有少数学生完成了额外作业。,Only a few students finished the extra homework.,5,只有__学生完成了额外作业。,Band2
生词,shēngcí,new word,Both,Misc,请把这些生词记在本子上。,Please write down these new words in your notebook.,5,请把这些__记在本子上。,Band2
生活,shēnghuó,Life,Both,Misc,他在城市里过着很简单的生活。,He lives a simple life in the city.,5,他在城市里过着很简单的__。,Band2
声音,shēngyīn,voice,English,Misc,她的声音温柔而清晰，像夏日微风拂过树叶的声音,"Her voice was gentle and clear, like the sound of a summer breeze rustling through leaves.",5,她的__温柔而清晰，像夏日微风拂过树叶的__,Band2
市长,shìzhǎng,mayor,Both,Misc,市长今天参观了我们学校。,The mayor visited our school today.,5,__今天参观了我们学校。,Band2
实际,shíjì,reality / actual,Both,Misc,实际情况比我们想的复杂。,The real situation is more complicated than we thought.,5,__情况比我们想的复杂。,Band2
实习,shíxí,Internship,Both,Misc,我正在一家公司实习。,I’m doing an internship at a company.,5,我正在一家公司__。,Band2
实现,shíxiàn,– to achieve / to realize,Both,Misc,他终于实现了自己的梦想。,He finally achieved his dream.,5,他终于__了自己的梦想。,Band2
使用,shǐyòng,Use,Chinese Sentence,Misc,请使用手机扫描二维码。,Please use your phone to scan the QR code.,5,请__手机扫描二维码。,Band2
实在,shízài,"1.Real, True, Actual
2. Honest, Sincere 
3. Really, Indeed, Truly, Actually
4. Substantial, Considerable, Significant
5.  Down-to-earth, Practical",Chinese,Misc,"1. 这才是实在的情况
2. 他说话很实在
3. 今天实在太热了
4. 这对我们来说是实在的帮助
5. 他是一个很实在的人，不会好高骛远。","1. This is the real situation.
2. He speaks honestly
3. Today is really too hot.
4. This is substantial help for us
5. He is a very down-to-earth person and won't aim too high.",5,"1. 这才是__的情况
2. 他说话很__
3. 今天__太热了
4. 这对我们来说是__的帮助
5. 他是一个很__的人，不会好高骛远。",Band2
受到,shòudào,"to receive (abstract things like praise, support)",Both,Misc,他受到了老师的表扬。,He received praise from the teacher.,5,他__了老师的表扬。,Band2
收入,shōurù,income,Both,Misc,他每个月的收入都很稳定。,His monthly income is very stable.,5,他每个月的__都很稳定。,Band2
熟,shú,ripe/familiar,Both,Misc,"苹果熟了
他对北京很熟","The apples are ripe
I’m not very familiar with him.",5,"苹果__了
他对北京很__",Band2
水平,shuǐpíng,level (of ability),Both,Misc,他的汉语水平很高。,His Chinese level is very high.,5,他的汉语__很高。,Band2
顺利,shùnlì,smoothly,Both,Misc,希望你考试顺利！,Hope your exam goes smoothly!,5,希望你考试__！,Band2
说明,shuōmíng,to explain / instructions,Both,Misc,请先看一下产品说明。,Please read the product instructions first.,5,请先看一下产品__。,Band2
数字,shùzì,number,Both,Misc,这些数字我不太明白。,I don’t really understand these numbers.,5,这些__我不太明白。,Band2
司机,sījī,Driver,Both,Misc,司机已经在楼下等你了。,The driver is already waiting downstairs for you.,5,__已经在楼下等你了。,Band2
随时,suíshí,at any time,Both,Misc,你可以随时联系我。,You can contact me anytime.,5,你可以__联系我。,Band2
态度,tàidu,attitude,English,Misc,他对工作的态度很认真。,He has a very serious attitude toward his work.,5,他对工作的__很认真。,Band2
讨论,tǎolùn,discuss,Both,Misc,我们一起讨论一下这个问题。,Let’s discuss this problem together.,5,我们一起__一下这个问题。,Band2
特点,tèdiǎn,characteristic / feature,Both,Misc,这家饭店的特点是菜又快又好吃,The special feature of this restaurant is that the food is fast and delicious.,5,这家饭店的__是菜又快又好吃,Band2
疼,téng,hurt (milder version),Both,Misc,我的头有点儿疼。,My head hurts a little.,5,我的头有点儿__。,Band2
提出,tíchū,put forward; propose; raise,Both,Misc,他在会议上提出了一个好建议。,He made a good suggestion during the meeting.,5,他在会议上__了一个好建议。,Band2
提到,tídào,to mention,Both,Misc,他从来没提到过他的家人。,他从来没提到过他的家人。,5,他从来没__过他的家人。,Band2
体育场,tǐyùchǎng,stadium,English,Misc,明天我们去体育场看比赛。,Tomorrow we’ll go to the stadium to watch the game.,5,明天我们去__看比赛。,Band2
体育馆,tǐyùguǎn,gymnasium,English,Misc,学校的体育馆非常大。,The school gym is very big.,5,学校的__非常大。,Band2
条件,tiáojiàn,condition / requirement,Both,Misc,他符合申请奖学金的条件。,He meets the requirements for applying for the scholarship.,5,他符合申请奖学金的__。,Band2
提高,tígāo,to improve / raise,Both,Misc,我想提高我的汉语水平。,I want to improve my Chinese level.,5,我想__我的汉语水平。,Band2
挺好,tǐnghǎo,very good,Both,Misc,今天天气挺好的。,The weather is pretty good today.,5,今天天气__的。,Band2
听讲,tīngjiǎng,attend a lecture,Both,Misc,我喜欢在图书馆听讲座。,I like attending lectures in the library.,5,我喜欢在图书馆__座。,Band2
体育,tǐyù,Sports,Both,Misc,我最喜欢的课程是体育。,My favorite subject is PE.,5,我最喜欢的课程是__。,Band2
同样,tóngyàng,similarly (used as an adverb),Chinese,Misc,他和我有同样的兴趣。,He and I have the same interests.,5,他和我有__的兴趣。,Band2
通过,tōngguò,to pass / through,Both,Misc,他顺利通过了考试,He passed the exam successfully.,5,他顺利__了考试,Band2
同时,tóngshí,– at the same time / meanwhile,Both,Misc,他是老师，同时也是作家。,He is a teacher and also a writer.,5,他是老师，__也是作家。,Band2
同事,tóngshì,Colleague,Both,Misc,我的同事们都很友好。,My coworkers are all very friendly.,5,我的__们都很友好。,Band2
通知,tōngzhī,to notify / notice,Both,Misc,学校发了一个重要通知。,The school issued an important notice.,5,学校发了一个重要__。,Band2
外地,wàidì,out of town / other places,Both,Misc,他去外地出差了。,He went on a business trip out of town.,5,他去__出差了。,Band2
外卖,wàimài,Takeout,Both,Food/Drinks,今天太累了，我们叫外卖吧,"It's too tiring today, let's order food delivery",5,今天太累了，我们叫__吧,Band2
晚报,wǎnbào,evening paper,English,Misc,我爷爷每天都读晚报。,My grandpa reads the evening newspaper every day,5,我爷爷每天都读__。,Band2
晚会,wǎnhuì,evening party / gala,Both,Misc,我们学校周五有一个晚会。,There’s a party at our school on Friday evening.,5,我们学校周五有一个__。,Band2
网球,wǎngqiú,Tennis,Both,Misc,我周末常常打网球。,I often play tennis on weekends.,5,我周末常常打__。,Band2
温度,wēndù,temperature (in general),Both,Misc,今天的温度是二十八度,Today’s temperature is 28°C.,5,今天的__是二十八度,Band2
午睡,wǔshuì,nap / afternoon nap,English,Misc,我每天中午都要午睡半小时。,I take a 30-minute nap every afternoon.,5,我每天中午都要__半小时。,Band2
西餐,xīcān,western food,English,Misc,我今天中午吃了西餐。,I had Western food for lunch today.,5,我今天中午吃了__。,Band2
西医,xīyī,western medicine,English,Misc,他是学西医的，不是中医。,"He studies Western medicine, not traditional Chinese medicine.",5,他是学__的，不是中医。,Band2
夏天,xiàtiān,summer,English,Misc,夏天的时候我喜欢去游泳。,I like swimming in the summer.,5,__的时候我喜欢去游泳。,Band2
想法,xiǎngfǎ,idea; opinion;thought,Both,Misc,你的想法很有意思。,Your idea is very interesting.,5,你的__很有意思。,Band2
相机,xiàngjī,camera,English,Misc,我用相机拍了很多照片。,I took many photos with my camera.,5,我用__拍了很多照片。,Band2
相同,xiāngtóng," Describes two or more things as being exactly the same, with no difference.",Both,Misc,他们的看法不完全相同。,Their opinions are not exactly the same.,5,他们的看法不完全__。,Band2
校园,xiàoyuán,campus,Both,Misc,这个大学的校园很漂亮。,The campus of this university is beautiful.,5,这个大学的__很漂亮。,Band2
小组,xiǎozǔ,small group,English,Misc,我们被分成了四个小组。,We were divided into four small groups.,5,我们被分成了四个__。,Band2
笑话,xiàohua,joke (noun),English,Misc,他讲了一个很好笑的笑话。,He told a really funny joke.,5,他讲了一个很好笑的__。,Band2
校长,xiàozhǎng,Principal,Both,Misc,校长在大会上发了言。,The principal spoke at the assembly.,5,__在大会上发了言。,Band2
习惯,xíguàn,Habit,English,Misc,我已经习惯早起了。,I’m already used to getting up early.,5,我已经__早起了。,Band2
行动,xíngdòng,action,Both,Misc,他说得好，但没有行动。,"He talks well, but takes no action.",5,他说得好，但没有__。,Band2
行人,xíngrén,pedestrian,Both,Misc,行人请走人行道。,"Pedestrians, please use the sidewalk.",5,__请走人行道。,Band2
行为,xíngwéi,behavior,Both,Misc,这种行为是不被接受的。,This kind of behavior is unacceptable.,5,这种__是不被接受的。,Band2
